feature,importance,model
lm_modal_strong_qa,0.010618566862494965,rf_best
n_sentences_qa,0.010530564585450257,rf_best
lm_uncertainty_zscore_qa,0.01020162593108098,rf_best
smog_index_qa,0.009901556550265799,rf_best
lm_subjectivity_qa,0.009793359856751319,rf_best
adverb_ratio_qa,0.009778819022233511,rf_best
lm_positive_qa,0.009476476514145982,rf_best
lm_uncertainty_pr,0.009306412645226388,rf_best
automated_readability_qa,0.009069277793509585,rf_best
lm_litigious_zscore_qa,0.008848637341652405,rf_best
flesch_kincaid_qa,0.00882897791287792,rf_best
gunning_fog_qa,0.008520350195007277,rf_best
adverb_ratio_zscore_qa,0.008343291400227867,rf_best
adverb_ratio_zscore_pr,0.008145619398390126,rf_best
lm_litigious_qa,0.007404008183306837,rf_best
lm_net_sentiment_zscore_pr,0.12823219783768372,gbdt_best
coleman_liau_pr,0.07801080290181538,gbdt_best
lm_positive_pr,0.058243564179133636,gbdt_best
pronoun_plural_ratio_pr,0.04509689617444292,gbdt_best
lm_constraining_pr,0.04509502699336589,gbdt_best
lm_net_sentiment_pr,0.044128500480180716,gbdt_best
lm_subjectivity_zscore_qa,0.04387706332056788,gbdt_best
lm_negative_pr,0.04205580249942115,gbdt_best
lm_modal_strong_zscore_qa,0.04034299157312303,gbdt_best
words_per_sentence_qa,0.03343915970551948,gbdt_best
lm_net_sentiment_qa,0.03215643746781443,gbdt_best
pronoun_plural_ratio_zscore_qa,0.028290306089359857,gbdt_best
lm_complexity_qa,0.023389763435942207,gbdt_best
smog_index_qa,0.022012520025545552,gbdt_best
lm_polarity_pr,0.02137613943592189,gbdt_best
lm_modal_weak_zscore_pr,0.016353455471872204,gbdt_best
flesch_ease_pr,0.01563112186552489,gbdt_best
adverb_ratio_pr,0.015501586477326194,gbdt_best
lm_complexity_pr,0.015308632474248506,gbdt_best
lm_modal_strong_pr,0.014383910185074135,gbdt_best
adverb_ratio_qa,0.01437320493644429,gbdt_best
coleman_liau_qa,0.013952815498566902,gbdt_best
lm_subjectivity_pr,0.013712006787620943,gbdt_best
lm_net_sentiment_zscore_qa,0.013576315257473959,gbdt_best
lm_constraining_qa,0.012286385305215947,gbdt_best
lm_modal_weak_qa,0.011104519128001816,gbdt_best
n_words_qa,0.010874594170137983,gbdt_best
lm_litigious_pr,0.010437604793713733,gbdt_best
lm_subjectivity_zscore_pr,0.010030499054291974,gbdt_best
lm_modal_weak_pr,0.009787499532366212,gbdt_best
lm_uncertainty_zscore_qa,0.009161426819998776,gbdt_best
pronoun_plural_ratio_qa,0.008245942995960555,gbdt_best
_qidx,0.008065816208440471,gbdt_best
n_sentences_pr,0.007246490551644265,gbdt_best
lm_uncertainty_pr,0.007091251876106903,gbdt_best
pronoun_plural_ratio_zscore_pr,0.006769503565848285,gbdt_best
words_per_sentence_zscore_pr,0.0067525441584813835,gbdt_best
lm_modal_strong_qa,0.006645879413848758,gbdt_best
lm_negative_qa,0.006097133789592836,gbdt_best
flesch_ease_qa,0.006058433424152429,gbdt_best
lm_litigious_zscore_pr,0.005368089545563241,gbdt_best
adverb_ratio_zscore_qa,0.0052913499774757435,gbdt_best
n_sentences_qa,0.003752418910833035,gbdt_best
lm_positive_qa,0.003543973271312135,gbdt_best
gunning_fog_pr,0.003490354623232052,gbdt_best
n_words_pr,0.0032937610927445005,gbdt_best
lm_polarity_qa,0.002936791012583373,gbdt_best
lm_modal_weak_zscore_qa,0.002853427181708077,gbdt_best
words_per_sentence_zscore_qa,0.0024778333278976127,gbdt_best
automated_readability_qa,0.0024481843527360764,gbdt_best
smog_index_pr,0.00243770872020134,gbdt_best
flesch_kincaid_qa,0.0020875146114969164,gbdt_best
lm_modal_strong_zscore_pr,0.002085530547459142,gbdt_best
lm_litigious_qa,0.0018062759807815968,gbdt_best
adverb_ratio_zscore_pr,0.000931040982183022,gbdt_best
dale_chall_pr,0.0,gbdt_best
lm_subjectivity_qa,0.0,gbdt_best
dale_chall_qa,0.0,gbdt_best
automated_readability_pr,0.0,gbdt_best
lm_uncertainty_zscore_pr,0.0,gbdt_best
lm_uncertainty_qa,0.0,gbdt_best
words_per_sentence_pr,0.0,gbdt_best
flesch_kincaid_pr,0.0,gbdt_best
gunning_fog_qa,0.0,gbdt_best
lm_litigious_zscore_qa,0.0,gbdt_best
